user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform,prouductivity_score_hours,productivity_score_hours
2082,24,5.78,1.04,8.43,52,9.62,81.7,High,Snapchat,8.492723492723494,8.492723492723494
2083,41,2.65,3.67,4.85,39,6.03,75.93,Medium,YouTube,12.592039800995025,12.592039800995025
2084,31,6.13,6.43,7.19,93,6.97,9.11,High,Snapchat,1.3070301291248205,1.3070301291248205
2085,20,8.47,6.54,5.08,40,4.41,48.48,Low,LinkedIn,10.993197278911564,10.993197278911564
2086,25,10.15,7.19,5.61,37,9.29,30.88,Low,Instagram,3.3240043057050594,3.3240043057050594
2087,18,6.05,0.89,4.42,74,3.48,65.34,Medium,Twitter,18.77586206896552,18.77586206896552
2088,28,7.53,4.45,7.51,28,7.74,96.17,Medium,Twitter,12.425064599483203,12.425064599483203
2089,45,3.94,1.31,7.42,30,2.05,63.44,Low,Twitter,30.946341463414637,30.946341463414637
2090,21,8.11,2.01,3.13,60,5.84,74.82,Low,LinkedIn,12.811643835616438,12.811643835616438
2091,32,11.85,7.25,3.36,73,6.2,40.41,Medium,Snapchat,6.51774193548387,6.51774193548387
2092,34,1.54,4.23,8.53,98,2.7,4.24,Low,LinkedIn,1.5703703703703704,1.5703703703703704
2093,41,10.75,6.19,8.33,39,3.91,42.39,Medium,YouTube,10.841432225063938,10.841432225063938
2094,20,7.19,0.98,6.04,92,2.61,51.57,Low,Snapchat,19.758620689655174,19.758620689655174
2095,44,3.77,3.63,5.96,100,8.61,49.78,Low,LinkedIn,5.78164924506388,5.78164924506388
2096,35,11.5,5.56,7.87,1,6.91,24.12,Medium,YouTube,3.4905933429811866,3.4905933429811866
2097,36,6.32,1.5,3.83,47,5.02,48.02,Medium,YouTube,9.56573705179283,9.56573705179283
2098,25,4.65,2.94,6.92,0,6.0,72.08,Medium,LinkedIn,12.013333333333334,12.013333333333334
2099,20,3.0,0.98,5.86,58,4.1,31.84,Medium,LinkedIn,7.765853658536586,7.765853658536586
2100,21,3.69,5.39,7.46,31,4.86,63.77,High,Instagram,13.121399176954732,13.121399176954732
2101,41,10.16,7.78,3.18,87,6.57,16.17,High,LinkedIn,2.4611872146118725,2.4611872146118725
2102,19,7.76,6.7,6.56,1,2.9,28.53,Medium,Twitter,9.837931034482759,9.837931034482759
2103,16,11.05,7.81,6.34,58,2.21,88.51,High,Snapchat,40.04977375565611,40.04977375565611
2104,39,3.55,6.84,8.05,2,9.5,63.04,Low,YouTube,6.63578947368421,6.63578947368421
2105,21,2.33,6.91,7.06,72,3.13,9.5,Medium,Twitter,3.0351437699680512,3.0351437699680512
2106,46,1.07,4.83,8.28,48,5.46,27.2,High,Twitter,4.981684981684982,4.981684981684982
2107,35,6.59,4.39,8.32,87,7.85,99.4,Medium,YouTube,12.662420382165607,12.662420382165607
2108,39,11.98,3.55,5.45,75,6.0,27.74,Low,Snapchat,4.623333333333333,4.623333333333333
2109,40,8.64,6.64,3.82,33,6.71,58.47,Low,Instagram,8.713859910581222,8.713859910581222
2110,36,4.39,1.87,6.78,119,2.47,55.48,Medium,Instagram,22.46153846153846,22.46153846153846
2111,45,10.65,0.92,8.24,61,4.55,40.83,High,Twitter,8.973626373626374,8.973626373626374
2112,39,9.6,7.61,3.45,33,7.21,4.34,Medium,Twitter,0.6019417475728155,0.6019417475728155
2113,45,1.17,0.53,6.35,22,2.89,29.15,Medium,LinkedIn,10.086505190311417,10.086505190311417
2114,37,9.99,7.83,3.69,18,5.35,95.38,Low,Instagram,17.82803738317757,17.82803738317757
2115,43,4.31,5.97,3.16,51,6.3,2.9,Medium,Instagram,0.4603174603174603,0.4603174603174603
2116,22,2.65,2.96,7.08,59,8.1,71.85,High,Snapchat,8.87037037037037,8.87037037037037
2117,43,3.49,5.73,7.09,95,2.95,89.38,Medium,LinkedIn,30.29830508474576,30.29830508474576
2118,29,6.15,6.63,6.6,112,9.8,76.48,Medium,YouTube,7.804081632653061,7.804081632653061
2119,25,5.67,2.34,8.16,27,9.71,33.0,Low,YouTube,3.398558187435633,3.398558187435633
2120,31,4.18,6.28,3.49,89,1.11,52.53,Low,Snapchat,47.32432432432432,47.32432432432432
2121,31,2.89,6.53,3.63,48,4.31,86.89,Low,YouTube,20.160092807424597,20.160092807424597
2122,46,9.38,2.37,8.19,44,1.61,97.57,Low,Instagram,60.60248447204968,60.60248447204968
2123,40,11.89,0.81,6.02,75,3.86,10.61,High,Twitter,2.7487046632124352,2.7487046632124352
2124,28,9.56,2.03,4.64,106,6.46,13.31,Low,LinkedIn,2.060371517027864,2.060371517027864
2125,21,4.26,2,7.43,94,6.48,95.63,Medium,YouTube,14.757716049382715,14.757716049382715
2126,24,3.69,0.99,8.37,59,1.87,87.39,Low,YouTube,46.73262032085561,46.73262032085561
2127,35,3.39,5.95,7.14,74,7.09,21.9,High,YouTube,3.08885754583921,3.08885754583921
2128,33,2.5,3.35,7.75,55,8.62,97.04,High,YouTube,11.25754060324826,11.25754060324826
2129,36,7.06,7.13,4.69,103,6.68,21.69,Low,Twitter,3.2470059880239526,3.2470059880239526
2130,19,7.66,2.39,4.73,113,3.79,9.76,Low,Twitter,2.575197889182058,2.575197889182058
2131,48,8.76,3.9,8.18,3,1.02,68.51,Low,Snapchat,67.16666666666667,67.16666666666667
2132,42,8.48,5.29,6.69,17,6.84,54.44,Low,Instagram,7.95906432748538,7.95906432748538
2133,22,4.22,7.08,4.4,28,7.1,24.73,Medium,YouTube,3.483098591549296,3.483098591549296
2134,21,4.63,4.43,6.14,110,7.38,92.9,Medium,Snapchat,12.588075880758808,12.588075880758808
2135,30,8.5,3.3,7.12,119,1.35,41.02,High,Instagram,30.385185185185186,30.385185185185186
2136,33,4.84,7,4.31,38,5.65,40.89,Low,Twitter,7.23716814159292,7.23716814159292
2137,47,3.34,2.83,6.93,54,4.72,63.55,Low,YouTube,13.463983050847459,13.463983050847459
2138,26,5.12,1.1,3.25,57,7.91,23.85,Medium,Twitter,3.015170670037927,3.015170670037927
2139,35,3.99,3.84,4.82,46,7.5,59.1,Low,YouTube,7.88,7.88
2140,39,1.97,6.39,7.04,30,9.56,37.03,Medium,Twitter,3.8734309623430963,3.8734309623430963
2141,30,10.13,0.73,3.9,114,9.08,69.81,High,Snapchat,7.688325991189427,7.688325991189427
2142,22,10.38,4.89,4.33,27,6.02,25.52,High,Snapchat,4.239202657807309,4.239202657807309
2143,36,3.42,4.96,8.27,26,9.82,19.36,Low,Twitter,1.9714867617107943,1.9714867617107943
2144,41,1.71,7.46,7.05,116,2.35,25.73,Low,Twitter,10.948936170212766,10.948936170212766
2145,29,9.13,2.65,5.99,29,1.06,93.66,Low,LinkedIn,88.35849056603773,88.35849056603773
2146,36,3.33,2.59,4.27,48,1.97,85.07,Medium,YouTube,43.18274111675127,43.18274111675127
2147,33,5.33,3.8,5.05,41,4.2,83.06,Medium,LinkedIn,19.776190476190475,19.776190476190475
2148,20,1.71,3.18,6.45,74,7.8,78.29,High,Twitter,10.037179487179488,10.037179487179488
2149,18,3.49,6.02,3.93,77,4.45,64.06,Medium,Snapchat,14.395505617977529,14.395505617977529
2150,38,9.72,5.31,5.89,67,8.03,10.74,Low,YouTube,1.3374844333748446,1.3374844333748446
2151,41,9.85,6.19,5.45,99,7.69,33.14,High,Snapchat,4.309492847854356,4.309492847854356
2152,39,3.28,6.65,5.86,0,8.15,56.63,Low,Twitter,6.948466257668712,6.948466257668712
2153,34,4.7,7.42,3.63,43,2.69,11.47,Medium,LinkedIn,4.263940520446097,4.263940520446097
2154,40,2.48,3.73,3.64,102,5.64,3.98,Medium,YouTube,0.7056737588652483,0.7056737588652483
2155,36,1.82,7.89,8.78,36,7.41,10.25,Low,LinkedIn,1.3832658569500675,1.3832658569500675
2156,27,11.91,2.12,8.88,32,3.56,11.7,Low,YouTube,3.286516853932584,3.286516853932584
2157,48,8.21,5.86,5.56,20,8.54,11.84,High,Snapchat,1.386416861826698,1.386416861826698
2158,19,6.96,4.51,7.73,87,8.01,19.83,Medium,Instagram,2.4756554307116105,2.4756554307116105
2159,22,9.42,6.63,6.93,39,2.08,50.41,Medium,YouTube,24.23557692307692,24.23557692307692
2160,37,10.24,4.08,3.7,60,2.96,29.26,High,Twitter,9.885135135135135,9.885135135135135
2161,48,9.87,6.38,4.78,113,3.14,86.15,High,YouTube,27.436305732484076,27.436305732484076
2162,32,1.18,7.48,4.88,12,8.91,87.74,Medium,Twitter,9.84736251402918,9.84736251402918
2163,39,3.05,5.99,6.57,112,2.68,92.1,High,Instagram,34.36567164179104,34.36567164179104
2164,49,8.2,6.32,6.48,97,6.6,47.64,Medium,Instagram,7.218181818181819,7.218181818181819
2165,43,5.13,1,8.54,37,1.58,77.63,Medium,Snapchat,49.132911392405056,49.132911392405056
2166,37,11.81,2.04,7.74,28,5.97,59.51,High,Snapchat,9.968174204355108,9.968174204355108
2167,32,8.32,7.81,8.14,52,2.27,15.29,High,Instagram,6.73568281938326,6.73568281938326
2168,49,11.52,5.7,8.35,63,6.18,63.93,High,YouTube,10.344660194174757,10.344660194174757
2169,21,3.22,4.71,7.81,35,4.31,83.87,Medium,YouTube,19.45939675174014,19.45939675174014
2170,21,10.5,3.25,5.0,103,6.45,35.45,High,Snapchat,5.496124031007752,5.496124031007752
2171,49,4.53,0.83,4.29,110,4.55,74.92,Medium,YouTube,16.465934065934068,16.465934065934068
2172,16,11.89,3.27,6.43,4,8.69,77.68,Low,YouTube,8.939010356731877,8.939010356731877
2173,25,2.73,4.24,7.14,19,7.81,64.71,High,YouTube,8.285531370038411,8.285531370038411
2174,36,6.68,2.09,5.32,92,8.6,88.44,Medium,YouTube,10.283720930232558,10.283720930232558
2175,20,9.72,1.8,8.09,10,3.0,15.34,Medium,Twitter,5.113333333333333,5.113333333333333
2176,17,5.76,4.31,8.76,71,2.34,84.5,Medium,Snapchat,36.111111111111114,36.111111111111114
2177,37,6.15,4.89,6.42,27,6.02,61.46,High,Instagram,10.209302325581396,10.209302325581396
2178,17,11.85,2.3,5.74,48,8.86,85.71,High,Instagram,9.673814898419865,9.673814898419865
2179,25,5.68,4.91,8.06,40,2.0,53.74,Low,Twitter,26.87,26.87
2180,49,7.64,7.25,3.15,17,3.1,33.47,High,Snapchat,10.796774193548387,10.796774193548387
2181,31,1.6,4.05,3.77,29,7.71,89.82,Low,Twitter,11.649805447470817,11.649805447470817
2182,37,10.26,6.93,8.07,13,5.19,87.86,Low,Snapchat,16.928709055876684,16.928709055876684
2183,27,8.13,7.45,7.39,55,6.43,27.5,Low,Twitter,4.2768273716951795,4.2768273716951795
2184,39,5.44,1.19,5.5,72,6.33,74.67,Low,YouTube,11.796208530805687,11.796208530805687
2185,25,1.18,1.22,8.33,73,4.71,10.04,High,Twitter,2.1316348195329087,2.1316348195329087
2186,47,7.51,4.07,5.11,119,7.35,9.51,Low,Twitter,1.2938775510204081,1.2938775510204081
2187,22,1.14,4.91,6.8,88,8.67,51.63,High,LinkedIn,5.955017301038063,5.955017301038063
2188,36,1.01,3.69,6.81,51,9.17,4.54,High,Snapchat,0.495092693565976,0.495092693565976
2189,35,7.78,2.95,4.11,90,1.42,43.94,High,YouTube,30.943661971830984,30.943661971830984
2190,41,3.08,5.31,4.71,65,5.98,79.28,High,Twitter,13.25752508361204,13.25752508361204
2191,19,3.11,0.52,8.5,66,1.36,89.06,High,YouTube,65.48529411764706,65.48529411764706
2192,37,8.19,7.76,4.1,28,9.11,26.22,Medium,Snapchat,2.8781558726673984,2.8781558726673984
2193,30,1.59,2.24,4.04,119,4.86,8.62,High,Instagram,1.773662551440329,1.773662551440329
2194,36,4.45,7.38,5.88,100,9.1,63.43,High,LinkedIn,6.97032967032967,6.97032967032967
2195,30,2.64,1.32,3.55,26,2.69,27.22,Low,LinkedIn,10.118959107806692,10.118959107806692
2196,37,7.38,2.29,8.37,67,2.46,3.32,Low,Snapchat,1.3495934959349594,1.3495934959349594
2197,43,8.28,2.26,3.6,34,9.17,13.99,Low,LinkedIn,1.5256270447110143,1.5256270447110143
2198,29,8.93,7.97,6.7,90,9.45,93.9,Low,Instagram,9.936507936507939,9.936507936507939
2199,42,3.81,0.53,5.04,82,7.9,87.63,Low,YouTube,11.092405063291139,11.092405063291139
2200,43,1.98,5.3,7.83,9,3.0,83.13,Low,Twitter,27.709999999999997,27.709999999999997
2201,41,1.87,7.02,6.54,25,2.55,34.61,High,Snapchat,13.572549019607845,13.572549019607845
2202,17,5.69,5.54,5.33,70,7.73,71.74,High,Snapchat,9.280724450194048,9.280724450194048
2203,40,11.4,3.22,8.9,90,6.71,95.74,Low,LinkedIn,14.268256333830104,14.268256333830104
2204,18,3.4,7.69,3.4,93,8.85,57.19,Medium,Twitter,6.462146892655367,6.462146892655367
2205,23,3.82,7.2,6.47,75,3.49,33.98,Medium,LinkedIn,9.736389684813751,9.736389684813751
2206,48,2.11,3.75,8.94,103,3.66,80.13,High,LinkedIn,21.89344262295082,21.89344262295082
2207,21,7.66,4.8,7.15,60,7.58,43.6,High,YouTube,5.75197889182058,5.75197889182058
2208,38,8.48,7.76,7.44,68,3.41,58.16,Medium,YouTube,17.055718475073313,17.055718475073313
2209,40,8.07,7.87,3.19,55,5.16,54.58,Medium,LinkedIn,10.577519379844961,10.577519379844961
2210,34,10.47,3.87,3.13,76,5.68,22.52,Low,Instagram,3.9647887323943665,3.9647887323943665
2211,20,6.35,6.86,3.22,63,7.02,1.07,Medium,Snapchat,0.15242165242165243,0.15242165242165243
2212,26,2.48,2.76,8.95,40,4.1,99.88,Low,Instagram,24.3609756097561,24.3609756097561
2213,27,4.18,3.29,8.88,3,8.73,42.27,High,Snapchat,4.84192439862543,4.84192439862543
2214,25,8.29,1.74,5.01,65,4.62,29.1,High,Twitter,6.298701298701299,6.298701298701299
2215,23,7.74,2.07,4.75,36,1.37,76.82,Low,Twitter,56.07299270072992,56.07299270072992
2216,39,6.84,5.43,3.88,33,1.6,59.66,High,Instagram,37.287499999999994,37.287499999999994
2217,43,8.51,4.33,4.97,49,9.74,88.17,High,LinkedIn,9.052361396303901,9.052361396303901
2218,36,8.01,2.23,5.22,69,6.6,78.33,Low,LinkedIn,11.868181818181819,11.868181818181819
2219,23,10.69,3.52,7.49,89,5.42,28.9,Medium,Twitter,5.33210332103321,5.33210332103321
2220,24,7.45,3.3,8.2,74,8.83,59.63,High,LinkedIn,6.753114382785957,6.753114382785957
2221,30,9.56,7.91,7.48,41,7.45,50.77,Medium,YouTube,6.814765100671141,6.814765100671141
2222,33,3.74,6.9,6.88,0,2.63,95.55,Medium,Twitter,36.330798479087456,36.330798479087456
2223,35,8.46,3.41,7.6,33,1.07,24.72,High,Snapchat,23.102803738317753,23.102803738317753
2224,21,10.92,7.35,7.43,84,9.84,29.1,Medium,Snapchat,2.957317073170732,2.957317073170732
2225,27,5.24,3.07,5.85,9,6.66,92.12,High,LinkedIn,13.831831831831833,13.831831831831833
2226,17,9.57,5.51,5.02,4,5.29,46.32,High,Snapchat,8.756143667296787,8.756143667296787
2227,22,8.97,7.75,4.7,89,9.5,46.27,Low,Snapchat,4.870526315789474,4.870526315789474
2228,31,1.65,3.43,7.08,43,4.32,86.95,High,Instagram,20.127314814814813,20.127314814814813
2229,18,7.4,5.6,8.76,18,7.5,30.31,Low,Instagram,4.041333333333333,4.041333333333333
2230,18,2.43,2.72,6.49,20,7.03,69.99,Low,Snapchat,9.955903271692744,9.955903271692744
2231,42,11.64,2.5,8.48,33,7.09,72.43,Low,Twitter,10.215796897038082,10.215796897038082
2232,48,9.93,4.81,3.09,28,7.09,44.8,Low,Snapchat,6.318758815232722,6.318758815232722
2233,43,2.21,7.84,7.77,101,1.09,34.06,Low,YouTube,31.24770642201835,31.24770642201835
2234,16,2.34,3.9,8.12,78,8.42,74.92,Medium,Twitter,8.897862232779097,8.897862232779097
2235,23,7.54,7.53,6.79,39,9.31,26.34,Low,YouTube,2.82921589688507,2.82921589688507
2236,47,4.79,7.36,8.6,79,5.04,82.11,Low,YouTube,16.291666666666668,16.291666666666668
2237,19,1.38,2.4,6.54,114,6.04,42.22,Medium,LinkedIn,6.990066225165562,6.990066225165562
2238,45,6.96,3.51,4.44,17,3.92,2.82,Low,Instagram,0.7193877551020408,0.7193877551020408
2239,21,5.27,5.32,4.29,48,8.07,57.36,Medium,LinkedIn,7.107806691449814,7.107806691449814
2240,34,2.11,4.39,6.34,60,7.63,20.25,Medium,YouTube,2.653997378768021,2.653997378768021
2241,47,9.82,1.22,8.44,64,7.65,47.19,Low,LinkedIn,6.168627450980392,6.168627450980392
2242,24,11.07,7.95,3.43,74,7.61,81.03,High,LinkedIn,10.647831800262813,10.647831800262813
2243,27,9.32,6.14,6.63,35,2.97,19.81,High,Twitter,6.6700336700336695,6.6700336700336695
2244,26,10.05,3.78,7.62,95,2.01,21.6,Low,LinkedIn,10.74626865671642,10.74626865671642
2245,31,3.38,5.14,3.69,91,3.8,47.91,High,Twitter,12.607894736842105,12.607894736842105
2246,16,3.9,1.16,3.7,69,6.18,48.17,Low,LinkedIn,7.794498381877023,7.794498381877023
2247,36,3.29,4.21,5.2,6,4.6,45.91,Low,LinkedIn,9.980434782608695,9.980434782608695
2248,45,9.42,7.48,4.64,60,3.24,69.75,Medium,YouTube,21.527777777777775,21.527777777777775
2249,28,11.43,7.22,4.19,63,1.2,27.64,Low,YouTube,23.033333333333335,23.033333333333335
2250,49,8.89,3.03,4.19,103,2.09,26.79,Low,Snapchat,12.818181818181818,12.818181818181818
2251,19,10.7,4.49,3.78,87,1.95,3.21,High,Snapchat,1.646153846153846,1.646153846153846
2252,43,8.03,5.73,6.67,73,9.61,38.79,Medium,Twitter,4.036420395421436,4.036420395421436
2253,46,5.26,3.05,7.13,29,8.01,20.38,Medium,YouTube,2.5443196004993758,2.5443196004993758
2254,42,5.68,0.99,7.22,16,2.1,59.57,High,Snapchat,28.366666666666667,28.366666666666667
2255,20,1.83,4.29,6.19,43,5.2,18.94,Low,LinkedIn,3.6423076923076922,3.6423076923076922
2256,40,1.35,5.01,8.72,71,6.89,89.56,Medium,YouTube,12.998548621190132,12.998548621190132
2257,18,8.65,0.54,8.28,75,9.65,85.05,Medium,LinkedIn,8.813471502590673,8.813471502590673
2258,48,5.82,1.22,8.75,25,3.42,76.75,High,LinkedIn,22.44152046783626,22.44152046783626
2259,19,7.07,2.05,5.33,16,3.38,81.04,Medium,Twitter,23.976331360946748,23.976331360946748
2260,40,7.13,3.11,8.27,34,6.11,96.0,Low,YouTube,15.711947626841242,15.711947626841242
2261,35,4.05,4.56,7.58,45,8.72,32.66,High,LinkedIn,3.7454128440366965,3.7454128440366965
2262,49,6.23,2.7,5.04,107,3.52,98.01,Low,Twitter,27.84375,27.84375
2263,41,6.18,2.57,3.64,4,2.13,89.16,Medium,Instagram,41.859154929577464,41.859154929577464
2264,20,5.27,7.02,7.1,44,3.4,36.83,High,Instagram,10.83235294117647,10.83235294117647
2265,43,10.03,1.59,3.82,74,5.04,86.54,Low,LinkedIn,17.17063492063492,17.17063492063492
2266,44,5.96,4.22,4.76,15,4.24,89.83,Medium,LinkedIn,21.18632075471698,21.18632075471698
2267,24,7.64,7.65,6.0,57,8.75,4.57,Low,Instagram,0.5222857142857144,0.5222857142857144
2268,21,10.85,5.19,7.08,41,9.49,87.72,Low,Snapchat,9.243414120126449,9.243414120126449
2269,34,10.53,5.88,8.56,93,4.41,43.89,High,Twitter,9.952380952380953,9.952380952380953
2270,26,10.79,3.73,6.56,59,8.41,81.32,Low,LinkedIn,9.669441141498215,9.669441141498215
2271,17,3.97,0.65,7.03,55,1.62,12.01,Medium,Instagram,7.41358024691358,7.41358024691358
2272,24,1.38,5.35,4.86,103,5.98,18.05,Medium,Instagram,3.0183946488294313,3.0183946488294313
2273,36,3.87,5.24,7.12,5,8.49,97.9,Medium,Instagram,11.531213191990577,11.531213191990577
2274,39,4.07,1.33,5.63,19,4.77,42.2,Medium,Instagram,8.846960167714887,8.846960167714887
2275,49,11.0,3.97,8.14,83,2.29,80.05,Low,Instagram,34.956331877729255,34.956331877729255
2276,37,8.14,7.36,5.35,23,3.56,75.27,Medium,Instagram,21.14325842696629,21.14325842696629
2277,18,1.9,2.04,5.81,90,5.43,78.82,High,LinkedIn,14.515653775322283,14.515653775322283
2278,27,2.49,3.96,5.6,66,8.59,76.7,Low,Twitter,8.928987194412107,8.928987194412107
2279,43,2.71,3.96,7.87,87,7.74,91.48,High,Instagram,11.819121447028424,11.819121447028424
2280,45,7.93,6.58,8.72,51,1.75,59.67,Medium,Instagram,34.097142857142856,34.097142857142856
2281,41,9.09,6.68,4.96,9,5.92,43.12,High,Instagram,7.283783783783783,7.283783783783783
2282,36,10.46,6.19,5.85,24,8.85,92.6,Medium,Instagram,10.463276836158192,10.463276836158192
2283,43,11.35,3.24,7.24,91,6.19,36.34,Low,Instagram,5.870759289176091,5.870759289176091
2284,41,3.22,1.04,8.37,81,1.58,63.44,High,YouTube,40.15189873417721,40.15189873417721
2285,48,4.41,3.12,5.96,105,8.41,85.67,Low,YouTube,10.186682520808562,10.186682520808562
2286,36,3.64,5.6,3.65,44,9.16,91.69,Medium,Instagram,10.009825327510917,10.009825327510917
2287,49,4.95,5.77,5.21,77,4.5,94.99,Low,Instagram,21.108888888888888,21.108888888888888
2288,33,11.06,7.74,6.3,0,3.79,66.33,High,Snapchat,17.50131926121372,17.50131926121372
2289,26,7.33,3.9,5.51,83,5.89,72.3,High,Snapchat,12.275042444821732,12.275042444821732
2290,38,9.12,5.24,4.12,110,9.86,50.25,High,Twitter,5.096348884381339,5.096348884381339
2291,37,6.39,4.54,3.22,24,8.54,29.2,Medium,YouTube,3.4192037470725998,3.4192037470725998
2292,32,1.32,1.63,7.12,75,8.3,2.6,High,LinkedIn,0.3132530120481928,0.3132530120481928
2293,20,1.71,3.96,8.96,111,2.74,22.98,High,Twitter,8.386861313868613,8.386861313868613
2294,26,6.92,4.59,8.52,102,9.06,98.02,High,Twitter,10.818984547461367,10.818984547461367
2295,45,8.91,7.63,7.1,109,6.0,80.83,Low,Instagram,13.471666666666666,13.471666666666666
2296,30,3.37,3.25,8.05,72,9.25,48.42,Medium,Instagram,5.234594594594594,5.234594594594594
2297,42,8.94,7.85,4.53,8,6.87,35.02,Medium,LinkedIn,5.097525473071325,5.097525473071325
2298,48,9.92,4.57,6.73,41,8.51,7.37,Medium,Snapchat,0.8660399529964747,0.8660399529964747
2299,35,5.53,2.32,3.36,62,2.49,2.0,Medium,Instagram,0.8032128514056224,0.8032128514056224
2300,31,9.21,1.94,7.24,104,7.36,75.75,High,YouTube,10.29211956521739,10.29211956521739
2301,49,5.44,1.56,8.82,24,3.32,98.57,Medium,LinkedIn,29.68975903614458,29.68975903614458
2302,17,8.46,3.9,8.16,93,2.52,26.13,Medium,LinkedIn,10.369047619047619,10.369047619047619
2303,43,9.4,0.66,6.21,47,6.17,28.18,High,Instagram,4.567260940032415,4.567260940032415
2304,21,11.91,3.84,7.73,54,6.42,93.53,High,LinkedIn,14.568535825545172,14.568535825545172
2305,24,4.8,7.91,8.66,103,5.42,60.6,High,Snapchat,11.180811808118081,11.180811808118081
2306,35,5.52,5.53,4.3,91,1.8,18.21,High,Instagram,10.116666666666667,10.116666666666667
2307,16,2.82,6.2,7.76,65,3.2,5.52,Low,Snapchat,1.7249999999999999,1.7249999999999999
2308,23,3.24,1.39,4.62,88,3.12,56.79,Medium,Snapchat,18.201923076923077,18.201923076923077
2309,38,8.63,4.05,8.26,81,3.82,45.8,High,YouTube,11.989528795811518,11.989528795811518
2310,18,11.09,2.65,3.59,23,6.65,43.78,Medium,Instagram,6.583458646616541,6.583458646616541
2311,19,5.34,7.21,4.07,81,4.94,96.96,Low,YouTube,19.62753036437247,19.62753036437247
2312,40,2.98,1.86,7.32,90,9.72,27.02,High,YouTube,2.7798353909465017,2.7798353909465017
2313,30,4.14,3.94,4.05,43,1.14,49.31,Low,LinkedIn,43.25438596491229,43.25438596491229
2314,36,6.01,4.91,3.95,55,2.94,22.12,Medium,Twitter,7.523809523809525,7.523809523809525
2315,29,4.2,4.36,6.33,34,6.16,32.86,Low,Instagram,5.334415584415584,5.334415584415584
2316,27,3.57,6.73,8.01,33,8.91,76.82,Medium,Snapchat,8.621773288439954,8.621773288439954
2317,32,9.1,2.24,4.61,101,1.31,20.53,Medium,LinkedIn,15.67175572519084,15.67175572519084
2318,24,1.09,3.33,8.05,5,8.95,67.97,Medium,YouTube,7.5944134078212295,7.5944134078212295
2319,28,6.93,6.44,7.85,48,5.57,13.83,Medium,YouTube,2.4829443447037702,2.4829443447037702
2320,30,9.73,4.46,6.47,15,8.07,19.87,Medium,Instagram,2.4622057001239157,2.4622057001239157
2321,33,3.93,3.52,6.88,86,9.54,3.29,High,LinkedIn,0.3448637316561845,0.3448637316561845
2322,48,7.64,0.72,3.24,91,2.94,63.42,High,Snapchat,21.571428571428573,21.571428571428573
2323,21,8.36,6.15,5.2,12,6.29,99.04,Low,YouTube,15.7456279809221,15.7456279809221
2324,42,8.21,7.79,4.58,11,8.95,65.99,Low,LinkedIn,7.373184357541899,7.373184357541899
2325,38,5.9,5.15,3.9,10,8.6,92.41,High,Snapchat,10.745348837209303,10.745348837209303
2326,42,4.81,6.92,5.34,46,5.69,53.11,Medium,LinkedIn,9.333919156414762,9.333919156414762
2327,49,10.2,4.38,5.13,59,9.55,68.35,Medium,YouTube,7.157068062827224,7.157068062827224
2328,29,9.34,2.24,7.37,48,7.38,92.63,High,YouTube,12.551490514905149,12.551490514905149
2329,23,4.53,0.61,6.59,51,5.72,9.54,Medium,Snapchat,1.6678321678321677,1.6678321678321677
2330,34,2.13,5.4,8.48,60,1.52,60.15,Low,LinkedIn,39.57236842105263,39.57236842105263
2331,45,1.79,4.2,3.87,85,5.39,57.98,Medium,YouTube,10.7569573283859,10.7569573283859
2332,29,2.04,6.37,3.36,94,4.8,4.28,Medium,LinkedIn,0.8916666666666667,0.8916666666666667
2333,35,7.41,5.71,6.21,119,3.75,16.46,Low,Instagram,4.389333333333334,4.389333333333334
2334,40,1.57,7.91,3.01,90,9.49,55.68,Low,Snapchat,5.867228661749209,5.867228661749209
2335,39,4.71,4.33,7.73,90,9.33,50.27,High,Twitter,5.387995712754556,5.387995712754556
2336,29,9.29,3.7,6.04,39,4.04,35.04,Medium,Snapchat,8.673267326732674,8.673267326732674
2337,41,4.24,2.65,5.93,89,4.92,70.07,Low,YouTube,14.241869918699186,14.241869918699186
2338,38,9.4,4.08,5.17,70,7.77,36.66,Low,LinkedIn,4.718146718146718,4.718146718146718
2339,37,9.2,7.05,5.25,74,8.52,77.12,Low,Snapchat,9.051643192488264,9.051643192488264
2340,34,3.7,0.82,5.59,52,1.99,81.11,Low,Twitter,40.75879396984924,40.75879396984924
2341,18,9.02,7.83,3.1,60,5.42,64.81,Low,Instagram,11.957564575645756,11.957564575645756
2342,34,9.23,7.95,3.5,21,9.23,28.62,Low,YouTube,3.1007583965330445,3.1007583965330445
2343,24,5.37,4.98,6.03,103,6.98,80.46,High,LinkedIn,11.527220630372492,11.527220630372492
2344,43,3.31,2.99,3.9,82,5.89,25.93,Medium,Instagram,4.4023769100169785,4.4023769100169785
2345,35,6.73,2.17,7.67,37,7.46,31.0,Medium,YouTube,4.1554959785522785,4.1554959785522785
2346,22,11.14,2.57,4.65,83,6.95,61.27,Medium,Snapchat,8.815827338129496,8.815827338129496
2347,29,8.04,0.88,3.59,60,9.48,69.22,Medium,Snapchat,7.30168776371308,7.30168776371308
2348,24,2.9,4.06,4.41,82,9.21,37.76,Medium,Twitter,4.0998914223669916,4.0998914223669916
2349,34,8.51,0.93,5.14,82,4.58,59.55,Medium,Instagram,13.002183406113536,13.002183406113536
